GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2 Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0000003	17243	17525	931.5677	942.4515	0.016757759	0.514948488	0.67330422	no
Unigene0000004	65	101	4.1156	6.3657	0.629216396	0.0066439	0.017882537	no
Unigene0000005	909	984	36.8859	39.7458	0.107732979	0.125972956	0.224650049	no
Unigene0000006	1376	1082	74.7026	58.4714	-0.353427322	1.17E-08	6.86E-08	no
Unigene0000007	121	73	15.68	9.4163	-0.735693369	0.000741929	0.002446086	no
Unigene0000008	221	308	13.1401	18.2287	0.472235423	0.000303782	0.00107215	no
Unigene0000009	159	95	9.6921	5.7643	-0.749663868	7.89E-05	0.000305459	no
Unigene0000010	76	25	6.8477	2.2422	-1.610704529	3.97E-07	2.05E-06	yes
Unigene0000011	120	156	7.2042	9.3224	0.371863183	0.036209354	0.078744233	no
Unigene0000012	104	138	5.3683	7.0905	0.401422069	0.034756889	0.076310438	no
Unigene0000014	160	187	8.7547	10.1851	0.218330498	0.166323409	0.28450401	no
Unigene0000015	85	197	7.3834	17.0334	1.206009212	2.87E-11	2.06E-10	yes
Unigene0000017	111	220	9.1284	18.0091	0.980292169	2.83E-09	1.75E-08	no
Unigene0000018	93	134	10.0391	14.3984	0.520278565	0.008146536	0.021339824	no
Unigene0000019	25	27	4.5124	4.851	0.104387219	0.890026841	1	no
Unigene0000020	79	169	9.3842	19.9828	1.090453082	1.36E-08	7.93E-08	yes
Unigene0000021	47	50	3.6646	3.8806	0.082623999	0.839598175	0.958089952	no
Unigene0000022	191	76	5.5045	2.1802	-1.336151037	1.89E-12	1.45E-11	yes
Unigene0000024	190	0	9.2009	0.001	-13.16755927	3.10E-57	8.23E-56	yes
Unigene0000025	47	34	2.9424	2.1188	-0.473745971	0.182961186	0.30593292	no
Unigene0000026	18	26	1.8428	2.6497	0.523929523	0.291747242	0.441574062	no
Unigene0000027	17	13	2.203	1.6769	-0.393672837	0.584948842	0.74208004	no
Unigene0000028	100	113	7.4521	8.3822	0.169681911	0.413487157	0.583367052	no
Unigene0000029	154	179	8.1073	9.3801	0.210381774	0.192024432	0.318031581	no
Unigene0000030	26	41	2.722	4.2727	0.650480957	0.086962949	0.166961869	no
Unigene0000031	56	50	4.4859	3.9868	-0.170166227	0.628342388	0.781563131	no
Unigene0000032	92	55	9.7792	5.8194	-0.748846034	0.002960029	0.008629048	no
Unigene0000033	14	39	0.9288	2.5754	1.471356646	0.000814887	0.002668198	yes
Unigene0000034	78	198	3.91	9.8798	1.33731323	4.77E-13	3.80E-12	yes
Unigene0000035	184	557	9.5331	28.7258	1.591329737	1.70E-42	3.48E-41	yes
Unigene0000036	57	61	3.3043	3.5199	0.091189767	0.783180223	0.914827623	no
Unigene0000038	38	23	3.6111	2.1756	-0.731025042	0.072610567	0.142881217	no
Unigene0000039	60	2476	2.5004	102.7096	5.360268315	0	0	yes
Unigene0000040	0	12	0.001	2.2283	11.12172776	0.000489894	0.001664918	yes
Unigene0000041	314	338	23.6532	25.3441	0.099614557	0.418343297	0.589029649	no
Unigene0000042	376	413	17.3611	18.9819	0.128766047	0.235111053	0.375274231	no
Unigene0000043	9	11	1.5783	1.9202	0.282885128	0.823890983	0.945240252	no
Unigene0000044	1	1	0.2051	0.2042	-0.006344626	1	1	no
Unigene0000045	353	546	24.999	38.4892	0.622583299	4.88E-10	3.19E-09	no
Unigene0000046	4118	4921	291.26	346.4553	0.250361643	8.37E-12	6.19E-11	no
Unigene0000047	94	106	5.9316	6.658	0.166667558	0.439035436	0.611696667	no
Unigene0000048	2	51	0.2106	5.3451	4.665639598	3.37E-13	2.72E-12	yes
Unigene0000049	6	585	0.3799	36.8704	6.600699546	9.38E-161	6.69E-159	yes
Unigene0000050	166	194	9.5236	11.0788	0.218222692	0.158326498	0.272623509	no
Unigene0000051	44	22	4.9316	2.4545	-1.006626621	0.009324907	0.024131101	yes
Unigene0000052	3	7	0.692	1.6073	1.215795288	0.343873016	0.504449375	no
Unigene0000053	82	158	4.8755	9.3511	0.939585904	1.22E-06	5.97E-06	no
Unigene0000054	15	23	0.8322	1.2702	0.610053482	0.256327805	0.399358904	no
Unigene0000055	24	26	1.3727	1.4802	0.108775759	0.887864912	0.998816136	no
Unigene0000056	5892	7339	128.4516	159.2623	0.310179937	1.01E-21	1.19E-20	no
Unigene0000057	239	241	13.0774	13.1262	0.005373582	1	1	no
Unigene0000058	129	209	5.7234	9.2302	0.68948947	1.87E-05	7.88E-05	no
Unigene0000059	27	16	2.1849	1.2888	-0.761538852	0.126696326	0.22574468	no
Unigene0000060	32	24	2.3469	1.7521	-0.421671253	0.350357864	0.512090672	no
Unigene0000061	154	139	8.9459	8.0375	-0.154479799	0.416860151	0.587554155	no
Unigene0000062	377	495	11.3166	14.7904	0.386220495	0.00013477	0.000503374	no
Unigene0000063	4030	3833	88.1693	83.4739	-0.078951229	0.040760757	0.087217817	no
Unigene0000064	13	7	3.1837	1.7064	-0.899748526	0.263416131	0.408257984	no
Unigene0000065	11	12	2.5912	2.8138	0.118899415	1	1	no
Unigene0000066	312	454	23.7927	34.4623	0.534499991	7.72E-07	3.85E-06	no
Unigene0000067	8	2	1.4534	0.3617	-2.006566308	0.109462886	0.202417413	no
Unigene0000068	125	90	20.3189	14.5624	-0.480574159	0.020866326	0.049120851	no
Unigene0000069	65	18	4.4777	1.2343	-1.859064785	2.22E-07	1.17E-06	yes
Unigene0000070	9	10	1.5208	1.682	0.145347268	1	1	no
Unigene0000071	59	492	3.7104	30.7985	3.053213458	7.88E-84	3.00E-82	yes
Unigene0000072	17	375	1.7865	39.2276	4.456661253	2.16E-87	8.43E-86	yes
Unigene0000073	478	2289	43.778	208.6765	2.25299019	4.97E-249	5.95E-247	yes
Unigene0000074	187	201	11.0009	11.7701	0.09750502	0.513381901	0.671457701	no
Unigene0000075	649	593	91.5726	83.2865	-0.136833319	0.116516232	0.213314333	no
Unigene0000076	24	613	2.9715	75.5493	4.668155102	6.25E-145	4.05E-143	yes
Unigene0000077	316	815	27.11	69.5984	1.360229027	3.48E-48	7.97E-47	yes
Unigene0000078	0	53	0.001	7.7795	12.92546172	2.38E-16	2.24E-15	yes
Unigene0000079	663	530	22.7518	18.1041	-0.329664229	0.000161476	0.000595511	no
Unigene0000080	14	497	1.1992	42.3768	5.143130456	1.35E-124	7.54E-123	yes
Unigene0000081	4	113	0.5852	16.4555	4.813496284	1.24E-28	1.80E-27	yes
Unigene0000083	143	469	3.7027	12.0881	1.706937931	4.03E-40	7.75E-39	yes
Unigene0000084	1904	1769	29.2318	27.0343	-0.112747667	0.030683389	0.068869195	no
Unigene0000085	1316	1652	44.6369	55.776	0.321407638	1.72E-08	9.95E-08	no
Unigene0000086	22	10	2.7671	1.252	-1.14414022	0.050284266	0.104722554	no
Unigene0000087	853	933	23.8894	26.0098	0.122684686	0.089025427	0.170295329	no
Unigene0000088	49	67	5.4156	7.3709	0.444719601	0.115130875	0.211521988	no
Unigene0000089	181	291	6.8311	10.9322	0.678393942	7.80E-07	3.88E-06	no
Unigene0000090	304	514	7.4978	12.619	0.75105834	9.78E-13	7.65E-12	no
Unigene0000091	1178	1789	27.8554	42.1089	0.596168156	1.57E-25	2.09E-24	no
Unigene0000092	755	694	12.2404	11.1998	-0.128177735	0.104441086	0.195242943	no
Unigene0000093	53	16	4.2273	1.2703	-1.734567249	9.41E-06	4.13E-05	yes
Unigene0000094	1147	1355	32.6999	38.4522	0.233779919	0.00014535	0.000540368	no
Unigene0000095	7	4	0.9265	0.527	-0.813988014	0.548940879	0.706890252	no
Unigene0000096	13	8	1.3408	0.8213	-0.707112851	0.383562455	0.549765831	no
Unigene0000097	10	5	1.163	0.5788	-1.00671427	0.301941037	0.454088793	no
Unigene0000098	295	231	10.2563	7.9943	-0.359466748	0.005097781	0.01406407	no
Unigene0000099	11	17	0.299	0.46	0.621488377	0.345268194	0.505879087	no
Unigene0000100	23	29	0.6296	0.7901	0.327599721	0.489022807	0.660319045	no
Unigene0000101	472	532	18.2855	20.5152	0.165993143	0.079136557	0.153562417	no
Unigene0000102	1737	2161	123.0119	152.3356	0.308455245	1.17E-09	7.46E-09	no
Unigene0000103	73	45	6.0935	3.739	-0.704618654	0.012863654	0.032047403	no
Unigene0000104	290	412	6.7996	9.6157	0.499942007	9.64E-06	4.23E-05	no
Unigene0000105	8	14	1.4727	2.5653	0.80066398	0.286545428	0.437204125	no
Unigene0000106	1561	2293	45.9884	67.2432	0.548118377	6.09E-27	8.48E-26	no
Unigene0000107	541	733	10.3459	13.9532	0.431536873	3.08E-07	1.60E-06	no
Unigene0000108	209	202	10.6791	10.274	-0.055792088	0.769593608	0.904109684	no
Unigene0000109	152	161	10.3555	10.9182	0.076337816	0.653727167	0.805326211	no
Unigene0000110	127	83	4.7163	3.0681	-0.620309984	0.003064522	0.008914414	no
Unigene0000111	42	65	3.2029	4.934	0.62337896	0.033414016	0.073659467	no
Unigene0000113	424	482	20.0606	22.7	0.178327541	0.073838172	0.144817065	no
Unigene0000114	434	634	14.37	20.8956	0.540139123	3.85E-09	2.36E-08	no
Unigene0000115	658	669	11.1456	11.2799	0.017279995	0.873282201	0.986834597	no
Unigene0000116	954	1147	28.8079	34.4767	0.259157194	9.95E-05	0.000380225	no
Unigene0000117	0	1	0.001	0.2365	7.885696373	1	1	no
Unigene0000118	3013	4610	98.1257	149.4458	0.606919407	1.47E-54	3.76E-53	no
Unigene0000119	34	39	2.7878	3.1831	0.191305417	0.640584407	0.793429723	no
Unigene0000120	6119	5150	179.8895	150.7065	-0.255369338	6.29E-14	5.28E-13	no
Unigene0000121	43	13	9.3378	2.8101	-1.732461218	7.50E-05	0.000291143	yes
Unigene0000122	78	49	19.1023	11.945	-0.677339502	0.012942802	0.032163638	no
Unigene0000123	54	57	12.8291	13.4795	0.071347019	0.849962236	0.967243607	no
Unigene0000124	61	47	6.7418	5.1707	-0.382774226	0.211996329	0.345496744	no
Unigene0000125	16	29	1.6814	3.0336	0.851367891	0.072774081	0.143023846	no
Unigene0000126	399	132	44.9017	14.7864	-1.602499221	1.36E-31	2.14E-30	yes
Unigene0000129	48	27	2.9749	1.6657	-0.836712585	0.02053211	0.048424857	no
Unigene0000130	13	9	2.0358	1.4029	-0.53718366	0.523698161	0.681875243	no
Unigene0000131	1363	1646	44.0539	52.9563	0.265532583	2.80E-06	1.31E-05	no
Unigene0000132	119	138	5.9869	6.9109	0.207064431	0.264527849	0.409834974	no
Unigene0000133	110	69	5.9256	3.6999	-0.679474964	0.002810508	0.008223167	no
Unigene0000134	11	5	2.4171	1.0936	-1.144192013	0.210296764	0.343179166	no
Unigene0000135	6	3	1.1423	0.5685	-1.006709338	0.50791091	0.665747767	no
Unigene0000136	25	4	5.9394	0.9459	-2.650557621	0.000104826	0.000399032	yes
Unigene0000137	15	11	1.0929	0.7978	-0.454062372	0.557455914	0.715501966	no
Unigene0000138	975	740	27.7394	20.9567	-0.404525026	3.30E-08	1.87E-07	no
Unigene0000139	47	68	5.9654	8.5911	0.526223986	0.062455699	0.126174354	no
Unigene0000140	95	118	7.2149	8.9205	0.306145178	0.133562749	0.23685805	no
Unigene0000141	20	34	2.2878	3.8713	0.758857174	0.076299045	0.149113159	no
Unigene0000142	7	3	0.9377	0.4	-1.229126433	0.343873016	0.504449375	no
Unigene0000143	209	273	8.7491	11.3758	0.378761483	0.005980295	0.016272903	no
Unigene0000144	4	4	0.5345	0.5321	-0.006492544	1	1	no
Unigene0000145	1001	1028	24.6777	25.2268	0.031749274	0.651935649	0.803417399	no
Unigene0000146	11	18	1.1828	1.9266	0.703850922	0.265278668	0.410608253	no
Unigene0000147	1264	1155	40.1767	36.5434	-0.136748201	0.029117714	0.065781167	no
Unigene0000148	1	3	0.1971	0.5887	1.578604851	0.625037495	0.778888258	no
Unigene0000150	26	60	0.7145	1.6412	1.199745143	0.000326333	0.001145033	yes
Unigene0000152	2	0	0.3432	0.001	-8.422905743	0.500024999	0.660319045	no
Unigene0000153	88	42	7.8906	3.7486	-1.073783118	7.11E-05	0.000276635	yes
Unigene0000155	75	61	5.1159	4.1418	-0.304730174	0.266514262	0.411535972	no
Unigene0000157	0	1	0.001	0.1366	7.093813673	1	1	no
Unigene0000158	1027	793	20.7387	15.9398	-0.379691934	1.00E-07	5.45E-07	no
Unigene0000159	113	106	12.1508	11.3457	-0.098905681	0.686868517	0.832683124	no
Unigene0000160	409	430	15.0979	15.8001	0.065585793	0.542690568	0.702102953	no
Unigene0000161	2024	4674	107.8806	247.9823	1.2008017	1.99E-185	1.63E-183	yes
Unigene0000162	46	88	3.6018	6.8587	0.92921708	0.000375894	0.001307099	no
Unigene0000163	710	1820	68.053	173.644	1.351401894	1.65E-98	7.19E-97	yes
Unigene0000164	31	37	3.8727	4.6011	0.248639065	0.545297453	0.7049112	no
Unigene0000165	1310	851	41.7582	27.0022	-0.62898257	2.11E-21	2.44E-20	no
Unigene0000166	77	1204	8.1848	127.3917	3.96018031	1.47E-246	1.75E-244	yes
Unigene0000167	0	6	0.001	1.1142	10.12179251	0.03127344	0.069386062	no
Unigene0000168	0	2	0.001	0.3641	8.508190931	0.500024999	0.660319045	no
Unigene0000169	12	18	1.7602	2.6281	0.57828081	0.361956807	0.525765999	no
Unigene0000170	16	13	1.9592	1.5845	-0.306237019	0.711273147	0.85412554	no
Unigene0000171	16	19	2.4985	2.9534	0.241314546	0.736103024	0.875457015	no
Unigene0000172	26	20	4.0946	3.1352	-0.385165044	0.461908494	0.632159242	no
Unigene0000173	17	23	2.9626	3.9898	0.429452577	0.430053998	0.600615134	no
Unigene0000174	21	25	3.7062	4.3918	0.24487162	0.659107511	0.810933603	no
Unigene0000175	30	25	4.0977	3.3991	-0.26966156	0.59056628	0.748478859	no
Unigene0000176	28	14	2.7357	1.3615	-1.006713049	0.043777388	0.092679853	no
Unigene0000177	107	36	18.3593	6.1486	-1.578181193	2.55E-09	1.59E-08	yes
Unigene0000178	41	31	5.2277	3.9345	-0.409996044	0.289652551	0.438997639	no
Unigene0000179	54	80	4.3319	6.3881	0.560386958	0.030970243	0.069286628	no
Unigene0000180	289	303	19.884	20.7514	0.061600663	0.65596012	0.807848212	no
Unigene0000181	25	22	4.8937	4.2867	-0.191058207	0.77113005	0.905507111	no
Unigene0000182	29	31	3.4896	3.7131	0.089562495	0.897575353	1	no
Unigene0000183	25	30	4.911	5.8661	0.256384843	0.59056628	0.748478859	no
Unigene0000184	170	156	13.7565	12.5656	-0.130633898	0.475157336	0.647687656	no
Unigene0000185	70	56	10.3222	8.2198	-0.328575293	0.248192102	0.39084956	no
Unigene0000186	17	9	2.8127	1.4822	-0.924215554	0.168914476	0.287616693	no
Unigene0000187	10	16	1.7818	2.8378	0.671437507	0.327255981	0.485594047	no
Unigene0000188	108	114	9.1804	9.6459	0.071358839	0.738669113	0.87813544	no
Unigene0000189	4	12	0.7388	2.2061	1.578242417	0.076929385	0.14982899	no
Unigene0000190	335	346	8.8096	9.0571	0.039972671	0.763082699	0.897942675	no
Unigene0000191	132	777	4.0187	23.5471	2.550748604	8.70E-107	4.10E-105	yes
Unigene0000192	1013	1390	26.6771	36.437	0.449802338	6.78E-13	5.36E-12	no
Unigene0000193	3	2	0.4765	0.3162	-0.591638846	1	1	no
Unigene0000194	0	2	0.001	0.3344	8.385431037	0.500024999	0.660319045	no
Unigene0000195	55	25	5.8687	2.6553	-1.144166093	0.001076889	0.003425797	yes
Unigene0000196	729	882	17.3044	20.84	0.268216358	0.000385618	0.001338653	no
Unigene0000197	10	16	2.13	3.3923	0.671410331	0.327255981	0.485594047	no
Unigene0000198	66	52	8.064	6.3242	-0.350612646	0.232639922	0.371864843	no
Unigene0000200	15	13	3.2321	2.7883	-0.213086043	0.850658524	0.967243607	no
Unigene0000201	170	157	9.8651	9.0688	-0.121422012	0.510446088	0.668712558	no
Unigene0000202	16	30	3.3439	6.241	0.900245508	0.054350896	0.112153688	no
Unigene0000203	13	25	0.6717	1.2857	0.936665115	0.073222283	0.143738749	no
Unigene0000205	1104	1344	24.4909	29.678	0.277148081	8.12E-06	3.60E-05	no
Unigene0000206	4894	3532	91.9467	66.0529	-0.477175893	6.14E-37	1.10E-35	no
Unigene0000207	0	1	0.001	0.2325	7.861086906	1	1	no
Unigene0000209	19	126	1.9597	12.9359	2.722675709	1.95E-20	2.18E-19	yes
Unigene0000210	205	117	16.5406	9.3969	-0.815754767	1.31E-06	6.34E-06	no
Unigene0000211	7	2	0.9609	0.2733	-1.813900839	0.179785925	0.301125081	no
Unigene0000212	1052	879	27.8095	23.1295	-0.265843727	0.000129452	0.000484569	no
Unigene0000213	2695	2615	33.7285	32.5769	-0.050118835	0.265743122	0.411262115	no
Unigene0000214	1186	536	16.5287	7.4356	-1.152452192	6.99E-53	1.74E-51	yes
Unigene0000215	31	31	3.5028	3.4867	-0.006646378	1	1	no
Unigene0000216	66	38	7.79	4.4646	-0.803092404	0.007959358	0.020913882	no
Unigene0000217	7	33	1.0546	4.9488	2.230382837	4.30E-05	0.000172873	yes
Unigene0000218	2	0	0.2957	0.001	-8.207990433	0.500024999	0.660319045	no
Unigene0000219	1219	1485	19.4734	23.6137	0.278119317	2.85E-06	1.33E-05	no
Unigene0000220	612	1045	18.9436	32.1978	0.765251592	2.82E-24	3.62E-23	no
Unigene0000222	1966	1443	41.0575	29.9968	-0.452837179	3.24E-17	3.17E-16	no
Unigene0000223	140	311	2.9281	6.4747	1.144848523	1.50E-15	1.37E-14	yes
Unigene0000224	6	4	0.8402	0.5576	-0.591502225	0.753967752	0.888953546	no
Unigene0000225	63	36	4.8442	2.7554	-0.813996661	0.008797873	0.022870031	no
Unigene0000226	9968	6486	412.0052	266.8523	-0.6266211	7.49E-94	3.10E-92	no
Unigene0000227	594	1224	11.9299	24.4699	1.036426256	1.04E-45	2.28E-44	yes
Unigene0000228	7	2	0.8885	0.2527	-1.813946112	0.179785925	0.301125081	no
Unigene0000229	10	3	1.8408	0.5497	-1.743616504	0.09238989	0.175641283	no
Unigene0000230	24	38	3.7269	5.8738	0.656318034	0.098473742	0.185433384	no
Unigene0000231	227	123	14.0061	7.5543	-0.89068531	3.84E-08	2.17E-07	no
Unigene0000232	73	358	11.8317	57.7571	2.287340928	3.87E-45	8.35E-44	yes
Unigene0000234	21	11	3.4953	1.8225	-0.939497472	0.110468001	0.203977396	no
Unigene0000235	383	369	7.9775	7.6506	-0.060363808	0.591305105	0.749148475	no
Unigene0000236	981	565	17.2474	9.8879	-0.802642838	4.85E-25	6.40E-24	no
Unigene0000237	255	265	6.4437	6.6656	0.048845417	0.761882778	0.896746314	no
Unigene0000238	3157	2450	42.7125	32.9949	-0.372415297	1.62E-17	1.60E-16	no
Unigene0000239	56	50	3.3766	3.0009	-0.17017604	0.628342388	0.781563131	no
Unigene0000240	46	30	2.906	1.8865	-0.623322603	0.085235917	0.163959681	no
Unigene0000242	8	2	1.1317	0.2816	-2.006772329	0.109462886	0.202417413	no
Unigene0000243	884	875	39.6962	39.1114	-0.021411731	0.783856257	0.915481067	no
Unigene0000244	2988	3556	93.4782	110.7365	0.24442897	2.97E-09	1.84E-08	no
Unigene0000245	29	33	6.5271	7.3932	0.179756799	0.70397567	0.847702502	no
Unigene0000246	1177	945	28.2524	22.5793	-0.323372667	1.04E-06	5.13E-06	no
Unigene0000249	40	77	7.5125	14.3951	0.93821282	0.000827872	0.002708903	no
Unigene0000250	13	23	2.4171	4.2567	0.816458255	0.132846084	0.23566185	no
Unigene0000251	25	19	4.2764	3.2351	-0.402586496	0.451880688	0.62434186	no
Unigene0000252	124	102	9.1547	7.4959	-0.288410903	0.164662915	0.281860693	no
Unigene0000253	23	29	4.4091	5.5337	0.327760235	0.489022807	0.660319045	no
Unigene0000254	16	67	3.5157	14.6545	2.059459872	1.48E-08	8.63E-08	yes
Unigene0000255	641	626	19.1072	18.5743	-0.040808537	0.662923487	0.814368129	no
Unigene0000256	11	38	1.47	5.0548	1.781837856	0.000144544	0.000537576	yes
Unigene0000257	10	8	1.3863	1.104	-0.328499323	0.814612826	0.937750861	no
Unigene0000258	26	48	2.454	4.5096	0.877864224	0.014256758	0.035027695	no
Unigene0000260	87	190	6.7644	14.705	1.120272906	7.37E-10	4.76E-09	yes
Unigene0000261	7	18	1.4413	3.6891	1.355898239	0.043414226	0.092035433	no
Unigene0000262	49	44	5.1397	4.594	-0.161933296	0.679237617	0.829005298	no
Unigene0000263	6	2	1.0359	0.3437	-1.591662983	0.28916092	0.43835434	no
Unigene0000264	46757	48473	912.3704	941.5075	0.045352945	0.043450331	0.092101998	no
Unigene0000265	217	169	19.9728	15.4834	-0.367314292	0.017694703	0.042383929	no
Unigene0000266	1	0	0.2074	0.001	-7.696272084	1	1	no
Unigene0000267	308	200	10.6153	6.8614	-0.629570265	1.63E-06	7.86E-06	no
Unigene0000268	1408	2938	32.6007	67.7136	1.05454268	3.13E-103	1.43E-101	yes
Unigene0000269	102	53	5.2945	2.7384	-0.951161248	0.000108621	0.000412236	no
Unigene0000270	13	15	1.0038	1.1529	0.199795531	0.850658524	0.967243607	no
Unigene0000271	113	85	5.5445	4.1515	-0.417424667	0.055932997	0.115133164	no
Unigene0000272	195	90	7.9244	3.6406	-1.122125467	6.11E-10	3.98E-09	yes
Unigene0000273	3	2	0.2926	0.1942	-0.591386569	1	1	no
Unigene0000274	609	498	9.5476	7.7715	-0.296945041	0.00104008	0.003315974	no
Unigene0000275	2815	1758	71.6872	44.5637	-0.685846523	3.68E-47	8.27E-46	no
Unigene0000276	1191	1052	30.3719	26.704	-0.185681303	0.00411935	0.011620195	no
Unigene0000277	139	74	9.5165	5.043	-0.916148848	1.11E-05	4.83E-05	no
Unigene0000278	112	209	2.9342	5.4503	0.893368431	8.52E-08	4.66E-07	no
Unigene0000279	2	0	0.0615	0.001	-5.942514505	0.500024999	0.660319045	no
Unigene0000280	12	4	2.6161	0.868	-1.591650741	0.076929385	0.14982899	no
Unigene0000281	1472	2383	45.7675	73.7518	0.688354772	2.10E-41	4.17E-40	no
Unigene0000282	301	168	19.0152	10.5644	-0.847942281	1.02E-09	6.55E-09	no
Unigene0000283	597	507	22.6699	19.1639	-0.242386837	0.00764061	0.020246193	no
Unigene0000284	760	1338	20.1672	35.3418	0.809364725	5.32E-33	8.66E-32	no
Unigene0000285	660	626	37.0617	34.9909	-0.082949286	0.330713189	0.490148094	no
Unigene0000286	35	15	6.4643	2.7577	-1.229028633	0.006667095	0.017923655	yes
Unigene0000287	24	13	4.3889	2.3664	-0.891165442	0.099182755	0.186248934	no
Unigene0000288	845	364	29.9781	12.8543	-1.221657901	1.27E-42	2.60E-41	yes
Unigene0000289	1729	1757	106.5628	107.7908	0.016530153	0.766865822	0.901310792	no
Unigene0000290	131	1344	3.4729	35.4664	3.352240123	9.95E-238	1.09E-235	yes
Unigene0000291	153	1620	5.5885	58.9002	3.397739524	2.15E-286	3.01E-284	yes
Unigene0000292	220	467	6.8288	14.429	1.079267331	2.11E-20	2.36E-19	yes
Unigene0000293	0	9	0.001	2.156	11.07414146	0.003913285	0.01109085	yes
Unigene0000294	964	1158	34.2218	40.9198	0.257883449	0.000100128	0.000382526	no
Unigene0000295	588	860	11.6412	16.948	0.541875252	8.84E-12	6.54E-11	no
Unigene0000296	497	624	12.6567	15.8178	0.32164766	0.000309126	0.00109003	no
Unigene0000297	203	276	3.7245	5.0406	0.436548711	0.001545621	0.004775678	no
Unigene0000298	12	7	1.7283	1.0035	-0.784313047	0.35951399	0.523046962	no
Unigene0000299	1286	1814	23.8864	33.5388	0.489641634	2.12E-18	2.17E-17	no
Unigene0000300	25	19	2.0963	1.5858	-0.402634364	0.451880688	0.62434186	no
Unigene0000301	172	174	5.2712	5.308	0.010036939	0.957502479	1	no
Unigene0000302	550	1854	31.6521	106.206	1.746492147	2.11E-146	1.39E-144	yes
Unigene0000303	23	63	4.9752	13.5651	1.447073256	1.95E-05	8.23E-05	yes
Unigene0000305	14	4	1.1599	0.3299	-1.813899747	0.030957355	0.069277079	no
Unigene0000306	67	87	1.8764	2.4254	0.370255292	0.126931607	0.226061017	no
Unigene0000307	601	424	13.9213	9.7762	-0.509948234	5.43E-08	3.03E-07	no
Unigene0000308	947	927	22.3931	21.8194	-0.037442832	0.60657209	0.764364652	no
Unigene0000309	18	10	2.3326	1.2899	-0.854679707	0.185241202	0.308940502	no
Unigene0000310	16	8	2.9163	1.4515	-1.006594565	0.151835054	0.262751689	no
Unigene0000311	442	772	13.2321	23.005	0.797905414	5.82E-20	6.36E-19	no
Unigene0000312	1954	1711	50.8082	44.2852	-0.19823672	0.000140686	0.000524024	no
Unigene0000313	38	36	3.3426	3.1521	-0.084657417	0.907731162	1	no
Unigene0000314	135	97	6.2076	4.4398	-0.483540909	0.015540623	0.037882506	no
Unigene0000315	66	34	5.3486	2.7427	-0.963564487	0.001837183	0.005596501	no
Unigene0000316	9753	8546	211.2172	184.227	-0.197242806	2.48E-11	1.78E-10	no
Unigene0000317	890	795	32.045	28.4929	-0.169496804	0.021828285	0.050990405	no
Unigene0000318	445	438	8.4002	8.2301	-0.029513717	0.79220921	0.920637163	no
Unigene0000319	2	0	0.4133	0.001	-8.691045553	0.500024999	0.660319045	no
Unigene0000320	431	462	15.1937	16.2116	0.093553244	0.359285986	0.523046962	no
Unigene0000321	123	124	10.0262	10.0613	0.005041807	1	1	no
Unigene0000322	26	20	4.8667	3.7264	-0.3851613	0.461908494	0.632159242	no
Unigene0000323	3	2	0.639	0.424	-0.591751666	1	1	no
Unigene0000324	10	6	2.0438	1.2207	-0.743545339	0.454681493	0.62434186	no
Unigene0000325	8	14	1.4346	2.4991	0.800760095	0.286545428	0.437204125	no
Unigene0000327	81	48	4.9867	2.9415	-0.761533377	0.004782378	0.013249001	no
Unigene0000328	277	267	18.6205	17.8658	-0.059691296	0.641733897	0.794652365	no
Unigene0000329	71	60	8.4701	7.1249	-0.249509237	0.383909725	0.550102465	no
Unigene0000330	214	161	7.4077	5.5475	-0.417187911	0.007717234	0.020429875	no
Unigene0000331	23	39	4.1514	7.007	0.75519895	0.05627593	0.115759939	no
Unigene0000332	166	124	4.9749	3.6991	-0.427493224	0.016679837	0.040206398	no
Unigene0000333	27	32	3.256	3.8412	0.238456383	0.603459506	0.761933795	no
Unigene0000334	220	293	27.2999	36.1914	0.40675125	0.002242744	0.00670183	no
Unigene0000335	297	310	9.9284	10.3154	0.05516662	0.689292199	0.834205562	no
Unigene0000336	15	12	2.9888	2.3801	-0.32854417	0.701302134	0.844976914	no
Unigene0000337	393	296	13.1852	9.8852	-0.415577395	0.000236198	0.000849397	no
Unigene0000338	17	13	2.6773	2.0379	-0.393695547	0.584948842	0.74208004	no
Unigene0000339	8	1	1.064	0.1324	-3.006523124	0.039104693	0.084037097	no
Unigene0000340	24	22	1.8054	1.6474	-0.132127619	0.883130239	0.99497646	no
Unigene0000341	15	13	1.7556	1.5145	-0.213122597	0.850658524	0.967243607	no
Unigene0000342	233	113	6.5222	3.1486	-1.050648193	1.48E-10	1.01E-09	yes
Unigene0000343	18	9	3.3467	1.6657	-1.006610645	0.122329491	0.221789474	no
Unigene0000344	241	343	15.02	21.2787	0.502525201	5.18E-05	0.000206088	no
Unigene0000345	4	3	0.9753	0.7281	-0.421709448	1	1	no
Unigene0000346	3704	2376	283.2393	180.8541	-0.647195151	1.80E-52	4.41E-51	no
Unigene0000347	167	178	8.8503	9.3899	0.085383434	0.593547984	0.751698167	no
Unigene0000348	782	726	34.7787	32.1398	-0.113843055	0.142865234	0.25082138	no
Unigene0000349	820	896	37.1827	40.4421	0.121226378	0.099968809	0.187635017	no
Unigene0000350	820	550	19.01	12.692	-0.582839106	9.95E-13	7.77E-12	no
